DateTime,%leafs,%flowers,%fruits,Days_since_start,Period,Day_of_Period,%leaves_roll2D,%flowers_roll2D,%fruits_roll2D
2023-06-08 10:00:00,75.0,0.0,0.0,0.0,0,0.0,75.0,0.0,0.0
2023-06-09 10:00:00,75.0,0.0,0.0,1.0,0,1.0,75.0,0.0,0.0
2023-06-10 10:00:00,75.0,0.0,0.0,2.0,0,2.0,75.0,0.0,0.0
2023-06-11 10:00:00,75.0,0.0,0.0,3.0,0,3.0,75.0,0.0,0.0
2023-06-12 10:00:00,75.0,0.0,0.0,4.0,0,4.0,75.0,0.0,0.0
2023-06-13 10:00:00,75.0,0.0,0.0,5.0,0,5.0,75.0,0.0,0.0
2023-06-14 10:00:00,75.0,0.0,0.0,6.0,0,6.0,75.0,0.0,0.0
2023-06-15 10:00:00,75.0,0.0,0.0,7.0,0,7.0,75.0,0.0,0.0
2023-06-16 10:00:00,75.0,0.0,0.0,8.0,0,8.0,75.0,0.0,0.0
2023-06-17 10:00:00,75.0,0.0,0.0,9.0,0,9.0,75.0,0.0,0.0
2023-06-18 10:00:00,75.0,0.0,0.0,10.0,0,10.0,75.0,0.0,0.0
2023-06-19 10:00:00,75.0,0.0,0.0,11.0,0,11.0,75.0,0.0,0.0
2023-06-20 10:00:00,75.0,0.0,0.0,12.0,0,12.0,75.0,0.0,0.0
2023-06-21 10:00:00,75.0,0.0,0.0,13.0,0,13.0,75.0,0.0,0.0
2023-06-22 10:00:00,75.0,0.0,0.0,14.0,0,14.0,75.0,0.0,0.0
2023-06-23 10:00:00,75.0,0.0,0.0,15.0,0,15.0,75.0,0.0,0.0
2023-06-24 10:00:00,75.0,0.0,0.0,16.0,0,16.0,75.0,0.0,0.0
2023-06-25 10:00:00,75.0,0.0,0.0,17.0,0,17.0,75.0,0.0,0.0
2023-06-26 10:00:00,75.0,0.0,0.0,18.0,0,18.0,75.0,0.0,0.0
2023-06-27 10:00:00,75.0,0.0,0.0,19.0,0,19.0,75.0,0.0,0.0
2023-06-28 10:00:00,75.0,0.0,0.0,20.0,0,20.0,75.0,0.0,0.0
2023-06-29 10:00:00,75.0,0.0,0.0,21.0,0,21.0,75.0,0.0,0.0
2023-06-30 10:00:00,75.0,0.0,0.0,22.0,0,22.0,75.0,0.0,0.0
2023-07-01 10:00:00,75.0,0.0,0.0,23.0,0,23.0,75.0,0.0,0.0
2023-07-02 10:00:00,75.0,0.0,0.0,24.0,0,24.0,75.0,0.0,0.0
2023-07-03 10:00:00,75.0,0.0,0.0,25.0,0,25.0,75.0,0.0,0.0
2023-07-04 10:00:00,75.0,0.0,0.0,26.0,0,26.0,75.0,0.0,0.0
2023-07-05 10:00:00,75.0,0.0,0.0,27.0,0,27.0,75.0,0.0,0.0
2023-07-06 10:00:00,75.0,0.0,0.0,28.0,0,28.0,75.0,0.0,0.0
2023-07-07 10:00:00,75.0,0.0,0.0,29.0,0,29.0,75.0,0.0,0.0
2023-07-08 10:00:00,75.0,0.0,0.0,30.0,0,30.0,75.0,0.0,0.0
2023-07-09 10:00:00,75.0,0.0,0.0,31.0,0,31.0,75.0,0.0,0.0
2023-07-10 10:00:00,75.0,0.0,0.0,32.0,0,32.0,75.0,0.0,0.0
2023-07-11 10:00:00,75.0,0.0,0.0,33.0,0,33.0,75.0,0.0,0.0
2023-07-12 10:00:00,75.0,0.0,0.0,34.0,0,34.0,75.0,0.0,0.0
2023-07-13 10:00:00,75.0,0.0,0.0,35.0,0,35.0,75.0,0.0,0.0
2023-07-14 10:00:00,75.0,0.0,0.0,36.0,0,36.0,75.0,0.0,0.0
2023-07-15 10:00:00,75.0,0.0,0.0,37.0,0,37.0,75.0,0.0,0.0
2023-07-16 10:00:00,75.0,0.0,0.0,38.0,0,38.0,75.0,0.0,0.0
2023-07-17 10:00:00,75.0,0.0,0.0,39.0,0,39.0,75.0,0.0,0.0
2023-07-18 10:00:00,75.0,0.0,0.0,40.0,0,40.0,75.0,0.0,0.0
2023-07-19 10:00:00,75.0,0.0,0.0,41.0,0,41.0,75.0,0.0,0.0
2023-07-20 10:00:00,75.0,0.0,0.0,42.0,0,42.0,75.0,0.0,0.0
2023-07-21 10:00:00,75.0,0.0,0.0,43.0,0,43.0,75.0,0.0,0.0
2023-07-22 10:00:00,75.0,0.0,0.0,44.0,0,44.0,75.0,0.0,0.0
2023-07-23 10:00:00,75.0,0.0,0.0,45.0,0,45.0,75.0,0.0,0.0
2023-07-24 10:00:00,75.0,0.0,0.0,46.0,0,46.0,75.0,0.0,0.0
2023-07-25 10:00:00,75.0,0.0,0.0,47.0,0,47.0,75.0,0.0,0.0
2023-07-26 10:00:00,75.0,0.0,0.0,48.0,0,48.0,75.0,0.0,0.0
2023-07-27 10:00:00,75.0,0.0,0.0,49.0,0,49.0,75.0,0.0,0.0
2023-07-28 10:00:00,75.0,0.0,0.0,50.0,0,50.0,75.0,0.0,0.0
2023-07-29 10:00:00,75.0,0.0,0.0,51.0,0,51.0,75.0,0.0,0.0
2023-07-30 10:00:00,50.0,0.0,0.0,52.0,0,52.0,62.5,0.0,0.0
2023-07-31 10:00:00,50.0,0.0,0.0,53.0,0,53.0,50.0,0.0,0.0
2023-08-01 10:00:00,50.0,0.0,0.0,54.0,0,54.0,50.0,0.0,0.0
2023-08-02 10:00:00,50.0,0.0,0.0,55.0,0,55.0,50.0,0.0,0.0
2023-08-03 10:00:00,50.0,0.0,0.0,56.0,0,56.0,50.0,0.0,0.0
2023-08-04 10:00:00,50.0,0.0,0.0,57.0,0,57.0,50.0,0.0,0.0
2023-08-05 10:00:00,50.0,0.0,0.0,58.0,0,58.0,50.0,0.0,0.0
2023-08-06 10:00:00,50.0,0.0,0.0,59.0,0,59.0,50.0,0.0,0.0
2023-08-07 10:00:00,50.0,0.0,0.0,60.0,0,60.0,50.0,0.0,0.0
2023-08-08 10:00:00,50.0,0.0,0.0,61.0,0,61.0,50.0,0.0,0.0
2023-08-09 10:00:00,50.0,0.0,0.0,62.0,0,62.0,50.0,0.0,0.0
2023-08-10 10:00:00,50.0,0.0,0.0,63.0,0,63.0,50.0,0.0,0.0
2023-08-11 10:00:00,50.0,0.0,0.0,64.0,0,64.0,50.0,0.0,0.0
2023-08-12 10:00:00,,,,65.0,0,65.0,50.0,0.0,0.0
2023-08-13 10:00:00,,,,66.0,0,66.0,,,
2023-08-14 10:00:00,,,,67.0,0,67.0,,,
2023-08-15 10:00:00,,,,68.0,0,68.0,,,
2023-08-16 10:00:00,,,,69.0,0,69.0,,,
2023-08-17 10:00:00,,,,70.0,0,70.0,,,
2023-08-18 10:00:00,,,,71.0,0,71.0,,,
2023-08-19 10:00:00,,,,72.0,0,72.0,,,
2023-08-20 10:00:00,,,,73.0,0,73.0,,,
2023-08-21 10:00:00,,,,74.0,0,74.0,,,
2023-08-22 10:00:00,,,,75.0,0,75.0,,,
2023-08-23 10:00:00,,,,76.0,0,76.0,,,
2023-08-24 10:00:00,,,,77.0,0,77.0,,,
2023-08-25 10:00:00,,,,78.0,0,78.0,,,
2023-08-26 10:00:00,,,,79.0,0,79.0,,,
2023-08-27 10:00:00,,,,80.0,0,80.0,,,
2023-08-28 10:00:00,,,,81.0,0,81.0,,,
2023-08-29 10:00:00,,,,82.0,0,82.0,,,
2023-08-30 10:00:00,,,,83.0,0,83.0,,,
2023-08-31 10:00:00,,,,84.0,0,84.0,,,
2023-09-01 10:00:00,,,,85.0,0,85.0,,,
2023-09-02 10:00:00,,,,86.0,0,86.0,,,
2023-09-03 10:00:00,,,,87.0,0,87.0,,,
2023-09-04 10:00:00,,,,88.0,0,88.0,,,
2023-09-05 10:00:00,,,,89.0,0,89.0,,,
2023-09-06 10:00:00,,,,90.0,0,90.0,,,
2023-09-07 10:00:00,,,,91.0,0,91.0,,,
2023-09-08 10:00:00,,,,92.0,0,92.0,,,
2023-09-09 10:00:00,,,,93.0,0,93.0,,,
2023-09-10 10:00:00,,,,94.0,0,94.0,,,
2023-09-11 10:00:00,,,,95.0,0,95.0,,,
2023-09-12 10:00:00,,,,96.0,0,96.0,,,
2023-09-13 10:00:00,,,,97.0,0,97.0,,,
2023-09-14 10:00:00,,,,98.0,0,98.0,,,
2023-09-15 10:00:00,,,,99.0,0,99.0,,,
2023-09-16 10:00:00,,,,100.0,0,100.0,,,
2023-09-17 10:00:00,,,,101.0,0,101.0,,,
2023-09-18 10:00:00,,,,102.0,0,102.0,,,
2023-09-19 10:00:00,,,,103.0,0,103.0,,,
2023-09-20 10:00:00,,,,104.0,0,104.0,,,
2023-09-21 10:00:00,,,,105.0,0,105.0,,,
2023-09-22 10:00:00,,,,106.0,0,106.0,,,
2023-09-23 10:00:00,,,,107.0,0,107.0,,,
2023-09-24 10:00:00,,,,108.0,0,108.0,,,
2023-09-25 10:00:00,,,,109.0,0,109.0,,,
2023-09-26 10:00:00,,,,110.0,0,110.0,,,
2023-09-27 10:00:00,,,,111.0,0,111.0,,,
2023-09-28 10:00:00,,,,112.0,0,112.0,,,
2023-09-29 10:00:00,,,,113.0,0,113.0,,,
2023-09-30 10:00:00,,,,114.0,0,114.0,,,
2023-10-01 10:00:00,,,,115.0,0,115.0,,,
2023-10-02 10:00:00,,,,116.0,0,116.0,,,
2023-10-03 10:00:00,,,,117.0,0,117.0,,,
2023-10-04 10:00:00,,,,118.0,0,118.0,,,
2023-10-05 10:00:00,,,,119.0,0,119.0,,,
2023-10-06 10:00:00,,,,120.0,0,120.0,,,
2023-10-07 10:00:00,,,,121.0,0,121.0,,,
2023-10-08 10:00:00,,,,122.0,0,122.0,,,
2023-10-09 10:00:00,,,,123.0,0,123.0,,,
2023-10-10 10:00:00,,,,124.0,0,124.0,,,
2023-10-11 10:00:00,,,,125.0,0,125.0,,,
2023-10-12 10:00:00,,,,126.0,0,126.0,,,
2023-10-13 10:00:00,,,,127.0,0,127.0,,,
2023-10-14 10:00:00,,,,128.0,0,128.0,,,
2023-10-15 10:00:00,,,,129.0,0,129.0,,,
2023-10-16 10:00:00,,,,130.0,0,130.0,,,
2023-10-17 10:00:00,,,,131.0,0,131.0,,,
2023-10-18 10:00:00,,,,132.0,0,132.0,,,
2023-10-19 10:00:00,,,,133.0,0,133.0,,,
2023-10-20 10:00:00,,,,134.0,0,134.0,,,
2023-10-21 10:00:00,,,,135.0,0,135.0,,,
2023-10-22 10:00:00,,,,136.0,0,136.0,,,
2023-10-23 10:00:00,,,,137.0,0,137.0,,,
2023-10-24 10:00:00,,,,138.0,0,138.0,,,
2023-10-25 10:00:00,,,,139.0,0,139.0,,,
2023-10-26 10:00:00,,,,140.0,0,140.0,,,
2023-10-27 10:00:00,,,,141.0,0,141.0,,,
2023-10-28 10:00:00,,,,142.0,0,142.0,,,
2023-10-29 10:00:00,,,,143.0,0,143.0,,,
2023-10-30 10:00:00,,,,144.0,0,144.0,,,
2023-10-31 10:00:00,,,,145.0,0,145.0,,,
2023-11-01 10:00:00,,,,146.0,0,146.0,,,
2023-11-02 10:00:00,,,,147.0,0,147.0,,,
2023-11-03 10:00:00,,,,148.0,0,148.0,,,
2023-11-04 10:00:00,,,,149.0,0,149.0,,,
2023-11-05 10:00:00,,,,150.0,0,150.0,,,
2023-11-06 10:00:00,,,,151.0,0,151.0,,,
2023-11-07 10:00:00,,,,152.0,0,152.0,,,
2023-11-08 10:00:00,,,,153.0,0,153.0,,,
2023-11-09 10:00:00,,,,154.0,0,154.0,,,
2023-11-10 10:00:00,,,,155.0,0,155.0,,,
2023-11-11 10:00:00,,,,156.0,0,156.0,,,
2023-11-12 10:00:00,,,,157.0,0,157.0,,,
2023-11-13 10:00:00,,,,158.0,0,158.0,,,
2023-11-14 10:00:00,,,,159.0,0,159.0,,,
2023-11-15 10:00:00,,,,160.0,0,160.0,,,
2023-11-16 10:00:00,,,,161.0,0,161.0,,,
2023-11-17 10:00:00,,,,162.0,0,162.0,,,
2023-11-18 10:00:00,,,,163.0,0,163.0,,,
2023-11-19 10:00:00,,,,164.0,0,164.0,,,
2023-11-20 10:00:00,,,,165.0,0,165.0,,,
2023-11-21 10:00:00,,,,166.0,0,166.0,,,
2023-11-22 10:00:00,,,,167.0,0,167.0,,,
2023-11-23 10:00:00,,,,168.0,0,168.0,,,
2023-11-24 10:00:00,,,,169.0,0,169.0,,,
2023-11-25 10:00:00,,,,170.0,0,170.0,,,
2023-11-26 10:00:00,,,,171.0,0,171.0,,,
2023-11-27 10:00:00,,,,172.0,0,172.0,,,
2023-11-28 10:00:00,,,,173.0,0,173.0,,,
2023-11-29 10:00:00,,,,174.0,0,174.0,,,
2023-11-30 10:00:00,,,,175.0,0,175.0,,,
2023-12-01 10:00:00,,,,176.0,0,176.0,,,
2023-12-02 10:00:00,,,,177.0,0,177.0,,,
2023-12-03 10:00:00,,,,178.0,0,178.0,,,
2023-12-04 10:00:00,,,,179.0,0,179.0,,,
2023-12-05 10:00:00,,,,180.0,0,180.0,,,
2023-12-06 10:00:00,,,,181.0,0,181.0,,,
2023-12-07 10:00:00,,,,182.0,0,182.0,,,
2023-12-08 10:00:00,,,,183.0,0,183.0,,,
2023-12-09 10:00:00,,,,184.0,0,184.0,,,
2023-12-10 10:00:00,,,,185.0,0,185.0,,,
2023-12-11 10:00:00,,,,186.0,0,186.0,,,
2023-12-12 10:00:00,,,,187.0,0,187.0,,,
2023-12-13 10:00:00,,,,188.0,0,188.0,,,
2023-12-14 10:00:00,,,,189.0,0,189.0,,,
2023-12-15 10:00:00,,,,190.0,0,190.0,,,
2023-12-16 10:00:00,,,,191.0,0,191.0,,,
2023-12-17 10:00:00,,,,192.0,0,192.0,,,
2023-12-18 10:00:00,,,,193.0,0,193.0,,,
2023-12-19 10:00:00,,,,194.0,0,194.0,,,
2023-12-20 10:00:00,,,,195.0,0,195.0,,,
2023-12-21 10:00:00,,,,196.0,0,196.0,,,
2023-12-22 10:00:00,,,,197.0,0,197.0,,,
2023-12-23 10:00:00,,,,198.0,0,198.0,,,
2023-12-24 10:00:00,,,,199.0,0,199.0,,,
2023-12-25 10:00:00,,,,200.0,0,200.0,,,
2023-12-26 10:00:00,,,,201.0,0,201.0,,,
2023-12-27 10:00:00,,,,202.0,0,202.0,,,
2023-12-28 10:00:00,,,,203.0,0,203.0,,,
2023-12-29 10:00:00,,,,204.0,0,204.0,,,
2023-12-30 10:00:00,,,,205.0,0,205.0,,,
2023-12-31 10:00:00,,,,206.0,0,206.0,,,
2024-01-01 10:00:00,,,,207.0,0,207.0,,,
2024-01-02 10:00:00,,,,208.0,0,208.0,,,
2024-01-03 10:00:00,,,,209.0,0,209.0,,,
2024-01-04 10:00:00,,,,210.0,0,210.0,,,
2024-01-05 10:00:00,,,,211.0,0,211.0,,,
2024-01-06 10:00:00,,,,212.0,0,212.0,,,
2024-01-07 10:00:00,,,,213.0,0,213.0,,,
2024-01-08 10:00:00,,,,214.0,0,214.0,,,
2024-01-09 10:00:00,,,,215.0,0,215.0,,,
2024-01-10 10:00:00,,,,216.0,0,216.0,,,
2024-01-11 10:00:00,,,,217.0,0,217.0,,,
2024-01-12 10:00:00,,,,218.0,0,218.0,,,
2024-01-13 10:00:00,,,,219.0,0,219.0,,,
2024-01-14 10:00:00,,,,220.0,0,220.0,,,
2024-01-15 10:00:00,,,,221.0,0,221.0,,,
2024-01-16 10:00:00,,,,222.0,0,222.0,,,
2024-01-17 10:00:00,,,,223.0,0,223.0,,,
2024-01-18 10:00:00,,,,224.0,0,224.0,,,
2024-01-19 10:00:00,,,,225.0,0,225.0,,,
2024-01-20 10:00:00,,,,226.0,0,226.0,,,
2024-01-21 10:00:00,,,,227.0,0,227.0,,,
2024-01-22 10:00:00,,,,228.0,0,228.0,,,
2024-01-23 10:00:00,,,,229.0,0,229.0,,,
2024-01-24 10:00:00,,,,230.0,0,230.0,,,
2024-01-25 10:00:00,,,,231.0,0,231.0,,,
2024-01-26 10:00:00,,,,232.0,0,232.0,,,
2024-01-27 10:00:00,,,,233.0,0,233.0,,,
2024-01-28 10:00:00,,,,234.0,0,234.0,,,
2024-01-29 10:00:00,,,,235.0,0,235.0,,,
2024-01-30 10:00:00,,,,236.0,0,236.0,,,
2024-01-31 10:00:00,,,,237.0,0,237.0,,,
2024-02-01 10:00:00,,,,238.0,0,238.0,,,
2024-02-02 10:00:00,,,,239.0,0,239.0,,,
2024-02-03 10:00:00,,,,240.0,0,240.0,,,
2024-02-04 10:00:00,,,,241.0,0,241.0,,,
2024-02-05 10:00:00,,,,242.0,0,242.0,,,
2024-02-06 10:00:00,,,,243.0,0,243.0,,,
2024-02-07 10:00:00,,,,244.0,0,244.0,,,
2024-02-08 10:00:00,,,,245.0,0,245.0,,,
2024-02-09 10:00:00,,,,246.0,0,246.0,,,
2024-02-10 10:00:00,,,,247.0,0,247.0,,,
2024-02-11 10:00:00,,,,248.0,0,248.0,,,
2024-02-12 10:00:00,,,,249.0,0,249.0,,,
2024-02-13 10:00:00,,,,250.0,0,250.0,,,
2024-02-14 10:00:00,,,,251.0,0,251.0,,,
2024-02-15 10:00:00,,,,252.0,0,252.0,,,
2024-02-16 10:00:00,,,,253.0,0,253.0,,,
2024-02-17 10:00:00,,,,254.0,0,254.0,,,
2024-02-18 10:00:00,,,,255.0,0,255.0,,,
2024-02-19 10:00:00,,,,256.0,0,256.0,,,
2024-02-20 10:00:00,,,,257.0,0,257.0,,,
2024-02-21 10:00:00,,,,258.0,0,258.0,,,
2024-02-22 10:00:00,,,,259.0,0,259.0,,,
2024-02-23 10:00:00,,,,260.0,0,260.0,,,
2024-02-24 10:00:00,,,,261.0,0,261.0,,,
2024-02-25 10:00:00,,,,262.0,0,262.0,,,
2024-02-26 10:00:00,,,,263.0,0,263.0,,,
2024-02-27 10:00:00,,,,264.0,0,264.0,,,
2024-02-28 10:00:00,,,,265.0,0,265.0,,,
2024-02-29 10:00:00,,,,266.0,0,266.0,,,
2024-03-01 10:00:00,,,,267.0,0,267.0,,,
2024-03-02 10:00:00,,,,268.0,0,268.0,,,
2024-03-03 10:00:00,,,,269.0,0,269.0,,,
2024-03-04 10:00:00,,,,270.0,0,270.0,,,
2024-03-05 10:00:00,,,,271.0,0,271.0,,,
2024-03-06 10:00:00,75.0,0.0,0.0,272.0,0,272.0,75.0,0.0,0.0
2024-03-07 10:00:00,75.0,0.0,0.0,273.0,0,273.0,75.0,0.0,0.0
2024-03-08 10:00:00,75.0,0.0,0.0,274.0,0,274.0,75.0,0.0,0.0
2024-03-09 10:00:00,75.0,0.0,0.0,275.0,0,275.0,75.0,0.0,0.0
2024-03-10 10:00:00,75.0,0.0,0.0,276.0,0,276.0,75.0,0.0,0.0
2024-03-11 10:00:00,75.0,0.0,0.0,277.0,0,277.0,75.0,0.0,0.0
2024-03-12 10:00:00,75.0,0.0,0.0,278.0,0,278.0,75.0,0.0,0.0
2024-03-13 10:00:00,75.0,0.0,0.0,279.0,0,279.0,75.0,0.0,0.0
2024-03-14 10:00:00,75.0,0.0,0.0,280.0,0,280.0,75.0,0.0,0.0
2024-03-15 10:00:00,75.0,0.0,0.0,281.0,0,281.0,75.0,0.0,0.0
2024-03-16 10:00:00,75.0,0.0,0.0,282.0,0,282.0,75.0,0.0,0.0
2024-03-17 10:00:00,75.0,0.0,0.0,283.0,0,283.0,75.0,0.0,0.0
2024-03-18 10:00:00,75.0,0.0,0.0,284.0,0,284.0,75.0,0.0,0.0
2024-03-19 10:00:00,75.0,0.0,0.0,285.0,0,285.0,75.0,0.0,0.0
2024-03-20 10:00:00,75.0,0.0,0.0,286.0,0,286.0,75.0,0.0,0.0
2024-03-21 10:00:00,75.0,0.0,0.0,287.0,0,287.0,75.0,0.0,0.0
2024-03-22 10:00:00,75.0,0.0,0.0,288.0,0,288.0,75.0,0.0,0.0
2024-03-23 10:00:00,75.0,0.0,0.0,289.0,0,289.0,75.0,0.0,0.0
2024-03-24 10:00:00,75.0,0.0,0.0,290.0,0,290.0,75.0,0.0,0.0
2024-03-25 10:00:00,75.0,0.0,0.0,291.0,0,291.0,75.0,0.0,0.0
2024-03-26 10:00:00,75.0,0.0,0.0,292.0,0,292.0,75.0,0.0,0.0
2024-03-27 10:00:00,75.0,0.0,0.0,293.0,0,293.0,75.0,0.0,0.0
2024-03-28 10:00:00,75.0,0.0,0.0,294.0,0,294.0,75.0,0.0,0.0
2024-03-29 10:00:00,75.0,0.0,0.0,295.0,0,295.0,75.0,0.0,0.0
2024-03-30 10:00:00,75.0,0.0,0.0,296.0,0,296.0,75.0,0.0,0.0
2024-03-31 10:00:00,75.0,0.0,0.0,297.0,0,297.0,75.0,0.0,0.0
2024-04-01 10:00:00,75.0,0.0,0.0,298.0,0,298.0,75.0,0.0,0.0
2024-04-02 10:00:00,75.0,0.0,0.0,299.0,0,299.0,75.0,0.0,0.0
2024-04-03 10:00:00,75.0,0.0,0.0,300.0,0,300.0,75.0,0.0,0.0
2024-04-04 10:00:00,75.0,0.0,0.0,301.0,0,301.0,75.0,0.0,0.0
2024-04-05 10:00:00,75.0,0.0,0.0,302.0,0,302.0,75.0,0.0,0.0
2024-04-06 10:00:00,75.0,0.0,0.0,303.0,0,303.0,75.0,0.0,0.0
2024-04-07 10:00:00,75.0,0.0,0.0,304.0,0,304.0,75.0,0.0,0.0
2024-04-08 10:00:00,75.0,0.0,0.0,305.0,0,305.0,75.0,0.0,0.0
2024-04-09 10:00:00,75.0,0.0,0.0,306.0,0,306.0,75.0,0.0,0.0
2024-04-10 10:00:00,75.0,0.0,0.0,307.0,0,307.0,75.0,0.0,0.0
2024-04-11 10:00:00,75.0,0.0,0.0,308.0,0,308.0,75.0,0.0,0.0
2024-04-12 10:00:00,75.0,0.0,0.0,309.0,0,309.0,75.0,0.0,0.0
2024-04-13 10:00:00,75.0,0.0,0.0,310.0,0,310.0,75.0,0.0,0.0
2024-04-14 10:00:00,75.0,0.0,0.0,311.0,0,311.0,75.0,0.0,0.0
2024-04-15 10:00:00,75.0,0.0,0.0,312.0,0,312.0,75.0,0.0,0.0
2024-04-16 10:00:00,75.0,0.0,0.0,313.0,0,313.0,75.0,0.0,0.0
2024-04-17 10:00:00,75.0,0.0,0.0,314.0,0,314.0,75.0,0.0,0.0
2024-04-18 10:00:00,75.0,0.0,0.0,315.0,0,315.0,75.0,0.0,0.0
2024-04-19 10:00:00,75.0,0.0,0.0,316.0,0,316.0,75.0,0.0,0.0
2024-04-20 10:00:00,75.0,0.0,0.0,317.0,0,317.0,75.0,0.0,0.0
2024-04-21 10:00:00,75.0,0.0,0.0,318.0,0,318.0,75.0,0.0,0.0
2024-04-22 10:00:00,75.0,0.0,0.0,319.0,0,319.0,75.0,0.0,0.0
